Name,Club,Division,Nat,Position,Home Grown Status,Preferred Foot,Inf,WR,Age,Mins,Ps C/90,Pr passes/90,Pas %,NP-xG/90,xA/90,Drb/90,Tck R,Hdr %,Tck/90,K Tck/90,Hdrs W/90,K Hdrs/90,Int/90,Blk/90,Clr/90,Pres C/90,Pres A/90,Fls,Distance,Rec,Salary,Expires,Transfer Value
Mats Hummels,Dortmund,Bundesliga,GER,D (C),-,Right,Ret,,35,"3,551",57.96,4.66,90%,0.03,0.04,0.1,73%,77%,0.96,0.23,7,0.74,2.76,0.76,0.76,1.7,3.45,22,268.4mi,- - -,"$135,000 p/w",6/30/24,$850K - $9.2M
Presnel Kimpembe,Paris Saint-Germain,Ligue 1 Uber Eats,FRA,D (C),Trained in nation (15-21),Left,,,28,"3,674",68.84,4.75,91%,0.04,0.02,0.17,80%,76%,1.1,0.37,8.28,0.49,3.77,0.71,1.3,1.71,4.09,14,296.6mi,- - -,"$170,000 p/w",6/30/26,$235M - $258M
Thiago Silva,Chelsea,Premier League,BRA,D (C),-,Right,Set,,39,"4,114",68.58,3.98,94%,0.01,0.04,0.09,89%,69%,1.12,0.35,5.14,0.66,2.32,0.7,0.98,1.4,3.87,16,303.7mi,- - -,"$170,000 p/w",6/30/24,$4.8M - $7.4M
José Giménez,Atlético de Madrid,LaLiga Santander,URU,D (C),-,Right,,,29,"2,912",79.52,6.06,93%,0.03,0.02,0.19,61%,70%,0.77,0.31,6.03,0.56,3.62,0.83,1.61,2.29,5.35,36,222.3mi,- - -,"$95,000 p/w",6/30/26,$73M - $112M
Danilo,Juventus,Serie A TIM,BRA,D (RLC),-,Right,nEU,,32,"3,303",69.73,5.97,92%,0.04,0.07,0.52,79%,59%,1.25,0.08,3.79,0.38,3.24,0.57,0.84,2.13,6.21,42,270.2mi,- - -,"$87,000 p/w",6/30/24,$9.6M - $12M
Leonardo Bonucci,Juventus,Serie A TIM,ITA,D (C),-,Right,,,37,"3,815",72.97,4.69,94%,0.02,0.04,0.05,71%,72%,1.11,0.21,4.79,0.54,3.35,0.59,0.8,1.7,3.75,34,275.1mi,- - -,"$140,000 p/w",6/30/24,$550K - $5.6M
Éder Militão,Real Madrid,LaLiga Santander,BRA,D (C),-,Right,,,26,"4,540",73.21,5.99,93%,0.07,0.03,0.24,70%,75%,0.85,0.18,7.53,0.56,3.17,0.36,0.85,1.31,3.17,45,344.4mi,- - -,"$300,000 p/w",6/30/27,$109M - $167M
Niklas Süle,Dortmund,Bundesliga,GER,D (RC),-,Right,Wnt,,28,"3,170",57.75,4.06,90%,0.03,0.06,0.51,81%,82%,0.82,0.26,7.32,0.37,3.24,1.14,1.19,1.5,4.83,19,247.0mi,- - -,"$190,000 p/w",6/30/25,$29M - $44M
Axel Witsel,Atlético de Madrid,LaLiga Santander,BEL,"D (C), DM, M (C)",-,Right,,,35,"2,285",76.45,6.07,92%,0.04,0.08,0.28,83%,64%,1.18,0.08,4.81,0.43,2.68,0.47,0.75,2.13,6.26,26,177.7mi,- - -,"$120,000 p/w",6/30/24,$200K - $2M
Kalidou Koulibaly,Chelsea,Premier League,SEN,D (C),Trained in nation (15-21),Right,Set,,32,"1,028",80.19,5.43,93%,0.05,0.02,0.09,56%,81%,0.88,0.35,9.37,0.79,2.89,0.35,1.4,1.49,3.33,4,81.6mi,- - -,"$350,000 p/w",6/30/25,Not for Sale
Stefan Savić,Atlético de Madrid,LaLiga Santander,MNE,D (C),-,Right,,,33,"2,919",73.26,5.55,93%,0.03,0.03,0.15,87%,68%,1.05,0.15,6.91,0.59,2.59,0.62,1.05,1.79,4.66,28,215.7mi,- - -,"$60,000 p/w",6/30/25,$19.5M - $25M
Harry Maguire,Man Utd,Premier League,ENG,D (C),-,Right,,,31,"2,395",58.66,4.17,90%,0.06,0.05,0.19,84%,80%,1.01,0.26,6.46,0.71,2.82,0.79,0.9,1.95,4.21,17,177.8mi,- - -,"$230,000 p/w",6/30/26,$23M - $36M
Andreas Christensen,Barcelona,LaLiga Santander,DEN,"D (C), DM, M (C)",-,Right,Wnt,,28,"2,796",75.45,5.18,93%,0.08,0.07,0.16,82%,72%,1.03,0.35,6.7,0.45,2.8,0.9,1.09,1.58,4.54,22,210.6mi,- - -,"$230,000 p/w",6/30/25,$23M - $29M
Antonio Rüdiger,Real Madrid,LaLiga Santander,GER,D (C),-,Right,,,31,"3,673",69.98,5.56,94%,0.05,0.02,0.15,80%,68%,0.86,0.22,5.56,0.56,2.84,0.54,0.78,1.18,2.92,25,277.8mi,- - -,"$245,000 p/w",6/30/25,Not for Sale
William Saliba,Arsenal,Premier League,FRA,D (RC),Trained in nation (15-21),Right,Set,,23,"4,232",71.07,5.78,93%,0.05,0.06,0.21,82%,78%,0.89,0.28,7.34,0.79,3.04,0.57,0.85,1.42,3.96,47,320.9mi,- - -,"$115,000 p/w",6/30/27,$216M - $270M
Sebastián Coates,Sporting CP,Liga Portugal Bwin,URU,D (C),-,Right,,,33,"3,965",85.82,5.83,94%,0.07,0.01,0.05,83%,74%,0.79,0.23,6.63,0.79,2.18,0.68,0.95,1.88,4.09,23,288.5mi,- - -,"$36,000 p/w",6/30/24,$6M - $9.2M
Alessio Romagnoli,Lazio,Serie A TIM,ITA,D (C),-,Left,Wnt,,29,"4,265",82.21,5.49,94%,0.02,0.04,0.08,86%,71%,1.16,0.27,6.08,0.76,3,0.46,0.68,1.39,3.52,44,310.7mi,- - -,"$105,000 p/w",6/30/26,$14.5M - $18.5M
Cristian Romero,Tottenham,Premier League,ARG,D (C),-,Right,,,26,"4,538",76.04,5.28,93%,0.03,0.02,0.04,75%,75%,1.23,0.46,6.11,0.77,3.19,0.75,1.43,2.08,4.82,57,331.4mi,- - -,"$200,000 p/w",6/30/26,$193M - $214M
Eric García,Barcelona,LaLiga Santander,ESP,D (C),-,Right,Wnt,,23,"1,399",77.84,7.78,93%,0.02,0.08,0.51,79%,58%,1.22,0.26,4.76,0.32,2.89,0.58,0.64,2.12,5.28,12,109.3mi,- - -,"$57,000 p/w",6/30/25,$16M - $20M
Nathan Aké,Man City,Premier League,NED,"D (LC), DM",-,Left,Wnt,,29,"3,274",58.77,7.39,90%,0.04,0.09,2.61,74%,73%,1.92,0.14,3.85,0.14,3.46,0.85,1.1,4.01,10.75,44,284.3mi,- - -,"$140,000 p/w",6/30/26,$74M - $93M
Kim Min-Jae,Napoli,Serie A TIM,KOR,D (C),-,Right,nEU,,27,"4,310",69.12,5.64,90%,0.05,0.01,0.04,80%,80%,0.69,0.21,8.44,0.75,3.22,0.61,0.98,1.19,3.24,28,325.3mi,- - -,"$97,000 p/w",6/30/27,$50M - $61M
Manuel Akanji,Barcelona,LaLiga Santander,SUI,D (C),-,Right,Trn,,28,"1,032",78.31,5.93,94%,0.04,0,0.09,83%,65%,0.87,0.26,5.41,0.44,4.36,0.61,0.87,1.92,3.23,10,76.3mi,- - -,"$105,000 p/w",6/30/26,$47M
Benjamin White,Arsenal,Premier League,ENG,D (RC),-,Right,,,26,"3,012",53.07,5.56,89%,0.08,0.08,2.75,77%,75%,2.15,0.24,4.72,0.18,3.85,0.63,1.28,3.88,9.83,40,278.5mi,- - -,"$120,000 p/w",6/30/27,$192M - $229M
Nicolás Otamendi,Benfica,Liga Portugal Bwin,ARG,D (C),-,Right,,,36,"4,410",64.78,5.06,91%,0.04,0.07,0.06,76%,69%,1.06,0.14,5.73,0.37,3.04,0.69,0.88,1.86,4.57,62,329.2mi,- - -,"$38,000 p/w",6/30/23,$300K - $900K
Gabriel,Arsenal,Premier League,BRA,D (C),-,Left,,,26,"3,745",79.47,5.89,94%,0.04,0.05,0.19,81%,79%,1.06,0.38,7.07,1.27,3.53,0.5,0.82,1.56,3.48,45,277.6mi,- - -,"$115,000 p/w",6/30/26,$207M - $248M
Ibrahima Konaté,Liverpool,Premier League,FRA,D (C),Trained in nation (0-21),Right,Set,,25,669,67.53,5.38,93%,0.02,0,-,100%,67%,1.48,0.27,5.52,0.67,2.42,0.81,0.81,1.88,4.17,4,53.7mi,- - -,"$81,000 p/w",6/30/25,$77M - $117M
Pepe,Porto,Liga Portugal Bwin,POR,D (C),-,Right,,,41,"3,059",55.87,4.03,88%,0.05,0.05,0.06,82%,78%,0.94,0.35,8.36,0.59,2.32,0.76,1.38,1.47,3.59,49,223.6mi,- - -,"$40,000 p/w",6/30/24,$250K - $2.5M
Stefan de Vrij,Inter,Serie A TIM,NED,D (C),-,Right,Wnt,,32,"1,605",73.35,5.83,91%,0,0.03,0.22,72%,75%,1.01,0.39,5.83,0.62,2.52,0.22,0.56,1.51,3.81,22,124.2mi,- - -,"$115,000 p/w",6/30/25,$9.6M - $14.5M
Fikayo Tomori,Milan,Serie A TIM,ENG,D (C),-,Right,nEU,,26,"3,887",61.89,4.47,90%,0.02,0.02,0.09,73%,63%,1,0.3,6.11,0.42,3.45,0.6,1.18,1.34,3.24,29,297.2mi,- - -,"$86,000 p/w",6/30/26,$105M - $161M
Joël Matip,Liverpool,Premier League,CMR,D (C),-,Right,Set,,32,"3,754",71.61,6.28,92%,0.05,0.04,0.14,89%,78%,0.96,0.19,6.31,0.36,3.43,0.98,1.25,1.85,4.17,25,288.3mi,- - -,"$160,000 p/w",6/30/24,$26M - $32M
Kurt Zouma,Newcastle,Premier League,FRA,D (RC),Trained in nation (15-21),Right Only,Set,,29,"1,468",59.65,5.15,88%,0.06,0,0.06,71%,89%,0.92,0.31,8.52,1.47,3.13,1.04,2.02,1.35,3.37,10,112.2mi,- - -,"$150,000 p/w",6/30/26,$51M - $65M
Nacho,Real Madrid,LaLiga Santander,ESP,D (RLC),-,Right,,,34,"3,402",59.05,4.1,90%,0.05,0.09,1.72,80%,59%,1.77,0.11,3.94,0.45,3.04,0.56,0.93,2.65,6.93,33,293.1mi,- - -,"$80,000 p/w",6/30/24,$275K - $8.8M
Matthias Ginter,Freiburg,Bundesliga,GER,"D (RC), DM",-,Right,Wnt,,30,"3,954",60.93,4.19,90%,0.03,0.04,0.09,84%,68%,1.23,0.48,5.71,0.73,3.55,0.8,1.21,2.3,5.35,24,300.9mi,- - -,"$44,500 p/w",6/30/25,$9.8M - $12M
Pau Torres,Villarreal,LaLiga Santander,ESP,"D (C), DM",-,Left,Wnt,,27,"3,627",65.71,4.49,91%,0.08,0.04,0.17,86%,81%,1.34,0.35,7.92,0.94,3.23,0.84,1.24,2.31,5.73,23,278.1mi,- - -,"$63,000 p/w",6/30/27,$38M - $60M
César Azpilicueta,Chelsea,Premier League,ESP,"D (RLC), WB (RL)",-,Either,Set,,34,"1,915",65.47,5.08,91%,0.03,0.09,1.36,83%,60%,1.6,0.23,4.09,0.47,3.15,0.89,1.03,3.34,8.46,18,164.7mi,- - -,"$105,000 p/w",6/30/25,$550K - $5.6M
Victor Lindelöf,Man Utd,Premier League,SWE,D (C),-,Right,Set,,29,644,62.75,4.89,91%,0.08,0.03,0.84,93%,59%,1.82,0.14,6.01,0.56,2.52,1.12,1.26,1.96,4.89,5,51.7mi,- - -,"$170,000 p/w",6/30/26,$29M - $36M
Clément Lenglet,Tottenham,Premier League,FRA,D (C),Trained in nation (15-21),Left,,,28,"3,275",81.54,5.88,94%,0.04,0.05,0.14,80%,73%,0.91,0.36,5.72,0.8,3.08,0.71,1.32,1.62,4.31,24,254.1mi,- - -,"$110,000 p/w",6/30/25,$10M - $16M
Merih Demiral,Atalanta,Serie A TIM,TUR,D (C),-,Right Only,nEU,,26,"2,587",73.79,4.56,92%,0.02,0.04,-,78%,75%,1.32,0.17,6.09,0.66,3.1,0.63,1.25,2.09,4.94,37,194.0mi,- - -,"$71,000 p/w",6/30/25,$18.5M - $23M
Matheus Reis,Sporting CP,Liga Portugal Bwin,BRA,"D (LC), WB (L)",-,Left Only,,,29,"3,307",69.67,5.09,93%,0.07,0.06,1.12,78%,63%,1.33,0.16,3.27,0.27,2.37,0.6,0.84,2.72,8.65,60,270.0mi,- - -,"$53,000 p/w",6/30/26,$9.6M - $15.5M
Dejan Lovren,Lyon,Ligue 1 Uber Eats,CRO,D (C),-,Right,,,34,"2,601",86.09,5.71,93%,0.06,0.01,0.07,83%,80%,0.66,0.17,9.03,0.59,3.46,1.18,0.87,1.45,3.6,8,200.5mi,- - -,"$49,500 p/w",6/30/24,$65K - $650K
Aleksandar Dragović,Crvena zvezda,Mozzart Bet SuperLiga,AUT,D (C),-,Either,,,33,"4,309",67.63,4.66,92%,0.02,0.02,0.1,77%,66%,0.86,0.23,6.77,0.46,3.3,0.58,1.11,1.55,4.01,32,320.1mi,- - -,"$6,500 p/w",6/30/24,$95K - $950K
Pierre Kalulu,Milan,Serie A TIM,FRA,D (RC),Trained in nation (15-21),Right,,,23,"3,910",61.04,4.26,93%,0.06,0.07,1.04,83%,60%,0.99,0.32,5.04,0.37,2.92,0.62,1.17,2.07,4.88,25,311.7mi,- - -,"$130,000 p/w",6/30/27,$94M - $149M
Íñigo Martínez,Athletic Club,LaLiga Santander,ESP,D (C),-,Left,,,33,"3,241",74,5.14,92%,0.01,0.04,0.17,64%,75%,0.81,0.39,5.78,0.36,3.14,0.47,0.81,1.67,3.69,29,245.8mi,- - -,"$63,000 p/w",6/30/24,$10.5M - $17M
Sven Botman,Newcastle,Premier League,NED,"D (LC), DM",-,Left,Set,,24,"4,040",60.04,4.39,92%,0.03,0.01,0.27,79%,74%,0.98,0.13,5.66,0.65,2.72,0.78,0.76,1.8,4.17,26,303.9mi,- - -,"$105,000 p/w",6/30/26,$89M - $108M
Danilo Pereira,Paris Saint-Germain,Ligue 1 Uber Eats,POR,"D (C), DM, M (C)",-,Right,Wnt,,32,"1,345",58.15,5.55,90%,0.12,0.06,0.27,78%,68%,2.41,0.07,5.29,0.4,1.54,0.6,0.6,4.28,11.58,13,119.0mi,- - -,"$86,000 p/w",6/30/24,$16M - $25M
Eric Dier,Tottenham,Premier League,ENG,"D (C), DM",-,Either,,,30,"4,312",73.28,5.24,94%,0.02,0.05,0.17,78%,69%,1.5,0.4,5.43,0.65,3.46,0.5,1.09,2.34,4.95,37,337.7mi,- - -,"$110,000 p/w",6/30/26,$77M - $95M
Josip Šutalo,Dinamo Zagreb,SuperSport Hrvatska nogometna liga,CRO,D (C),-,Right,Wnt,,24,"4,587",69.61,5.75,93%,0.08,0.08,0.14,77%,77%,0.86,0.24,7.99,0.67,3.1,0.53,1.04,1.51,3.55,28,343.9mi,- - -,"$7,500 p/w",6/15/27,$10M - $16.5M
Federico Dimarco,Inter,Serie A TIM,ITA,"D (LC), WB/M (L)",-,Left,Wnt,,26,"3,601",48.86,4.72,87%,0.02,0.14,2.15,70%,49%,2.37,0.07,2.5,0.07,2.97,0.9,0.87,4.05,15.97,64,334.5mi,- - -,"$120,000 p/w",6/30/27,$58M - $92M
Daley Blind,Bayern München,Bundesliga,NED,"D (LC), WB (L), DM, M (C)",-,Left,Wnt,,34,"1,045",62.96,6.29,88%,0.05,0.17,1.21,82%,57%,2.41,0.17,2.41,0.09,1.64,0.34,0.09,3.79,10.77,27,92.1mi,- - -,"$55,000 p/w",6/30/25,$140K - $9.8M
Lucas Veríssimo,Benfica,Liga Portugal Bwin,BRA,D (C),-,Right,Wnt,,28,"1,824",68.09,5.03,91%,0.09,0.03,-,89%,81%,1.53,0.44,9.42,0.79,3.55,0.44,1.13,2.07,5.43,22,137.4mi,- - -,"$39,000 p/w",6/30/27,$17.5M - $23M
Tormena,Braga,Liga Portugal Bwin,BRA,D (RC),-,Right,Wnt,,28,"4,086",50.95,4.32,89%,0.03,0.1,0.86,76%,79%,1.65,0.22,6.21,0.81,4.45,0.7,1.17,3.04,8.26,20,348.9mi,- - -,"$15,500 p/w",6/30/27,$11.5M - $18M
Amir Rrahmani,Napoli,Serie A TIM,KOS,D (C),-,Right,nEU,,30,"3,690",70.34,4.49,92%,0.05,0.02,0.07,75%,80%,1.12,0.29,7.54,0.63,2.41,0.49,1.05,1.63,3.68,34,272.7mi,- - -,"$69,000 p/w",6/30/26,$31M - $38M
Jan Vertonghen,Anderlecht,Jupiler Pro League,BEL,"D (LC), DM",-,Left Only,,,37,"3,201",62.02,4.08,92%,0.01,0.04,0.06,71%,71%,0.62,0.22,5.74,0.62,2.31,0.73,0.84,1.49,4.27,33,232.6mi,- - -,"$21,000 p/w",6/30/25,Not for Sale
Nico Schlotterbeck,Dortmund,Bundesliga,GER,"D (LC), DM",-,Left,Wnt,,24,"3,521",57.87,4.88,89%,0.02,0.08,1,70%,71%,1.12,0.33,6.03,0.74,3.25,0.66,0.92,1.89,5.6,41,285.5mi,- - -,"$55,000 p/w",6/30/26,$29M - $46M
Maxence Lacroix,Wolfsburg,Bundesliga,FRA,"D (C), DM",Trained in nation (15-21),Right,Wnt,,24,"3,227",75.69,4.27,92%,0.06,0.04,0.22,85%,73%,1.48,0.39,6.69,0.36,3.63,0.67,1.28,2.12,4.63,35,233.1mi,- - -,"$76,000 p/w",6/30/27,$22M - $29M
Edson Álvarez,Ajax,Eredivisie,MEX,"D (C), DM, M (C)",-,Right,Int,,26,"3,817",59.56,5.09,89%,0.05,0.18,0.52,73%,69%,1.89,0.05,4.9,0.28,1.79,0.42,0.57,3.7,10.82,73,324.8mi,- - -,"$65,000 p/w",6/30/26,$56M - $72M
Shkodran Mustafi,Levante,LaLiga SmartBank,GER,D (C),-,Right,Wnt,,32,"3,845",73.94,6.3,88%,0.06,0.02,0.16,73%,85%,0.75,0.28,9.06,0.68,3.35,0.77,0.84,1.45,3.18,29,302.5mi,- - -,"$10,750 p/w",6/30/24,$2.7M - $5.8M
Germán Pezzella,Real Betis,LaLiga Santander,ARG,D (C),-,Right,,,32,"1,650",72.71,4.42,93%,0.02,0.03,0.05,76%,78%,0.87,0.16,7.53,0.82,2.67,1.04,1.09,1.69,4.15,22,123.0mi,- - -,"$42,500 p/w",6/30/24,$500K - $5.2M
Chris Smalling,Roma,Serie A TIM,ENG,D (C),-,Right Only,nEU,,34,"4,200",74.66,4.22,93%,0.05,0.02,0.04,88%,87%,0.79,0.24,8.23,0.9,3.06,0.69,1.44,1.22,3.3,25,308.4mi,- - -,"$74,000 p/w",6/30/24,$3.8M - $6M
Djéné Dakonam,Getafe,LaLiga Santander,TOG,D (RC),-,Right,,,32,"3,672",56.79,4.07,88%,0.01,0.04,0.47,74%,60%,1.25,0.22,4.34,0.32,3.73,0.59,1.54,1.74,4.83,41,294.8mi,- - -,"$22,000 p/w",6/30/25,Not for Sale
Davinson Sánchez,Tottenham,Premier League,COL,D (C),-,Right,,,27,"1,129",78.68,7.02,93%,0.03,0.06,0.24,67%,63%,1.43,0.08,5.42,0.64,3.67,0.72,1.43,2.55,6.94,14,94.5mi,- - -,"$86,000 p/w",6/30/26,$18M - $23M
Joško Gvardiol,RB Leipzig,Bundesliga,CRO,D (LC),-,Left,,,22,"3,957",62.71,5.34,90%,0.04,0.05,1.32,76%,73%,1.41,0.34,6.23,0.75,3.64,0.64,1.25,2.3,6.62,42,317.1mi,- - -,"$68,000 p/w",6/30/26,$56M - $69M
Niklas Stark,Werder Bremen,Bundesliga,GER,"D (C), DM",-,Right,Wnt,,29,"2,943",57.74,3.7,89%,0.02,0.03,0.09,77%,73%,1.25,0.37,5.29,0.58,2.75,0.89,1.8,1.9,5.05,34,232.2mi,- - -,"$27,500 p/w",6/30/25,$475K - $4.7M
Francesco Acerbi,Inter,Serie A TIM,ITA,D (C),-,Left,,,36,"3,794",75.48,5.88,93%,0.05,0.01,0.05,82%,75%,1.09,0.21,5.88,0.47,2.63,0.76,1,1.61,3.91,23,291.4mi,- - -,"$64,000 p/w",6/30/24,$130K - $1.3M
Felipe,Nottm Forest,Premier League,BRA,D (C),-,Right,,,35,"3,161",34.65,3.25,67%,0.04,0.01,0.06,75%,81%,0.94,0.4,8.31,1.31,2.9,0.8,2.25,1.28,3.39,35,231.0mi,- - -,"$56,000 p/w",6/30/24,$350K - $3.4M
Lewis Dunk,Brighton,Premier League,ENG,D (C),-,Right,,,32,"3,839",63.16,4.83,91%,0.06,0.02,0.19,82%,76%,1.1,0.26,6.92,1.01,3,0.66,1.03,1.81,4.03,49,287.8mi,- - -,"$100,000 p/w",6/30/25,Not for Sale
Joël Veltman,Brighton,Premier League,NED,D (RC),-,Right,Set,,32,"3,350",54.13,4.19,90%,0.04,0.03,1.02,72%,69%,2.07,0.21,5.1,0.56,2.93,0.56,1.05,3.57,8.06,49,280.3mi,- - -,"$68,000 p/w",6/30/25,Not for Sale
Samuel Umtiti,Lecce,Serie A TIM,FRA,D (C),Trained in nation (15-21),Left,,,30,"2,321",47.54,3.22,86%,0,0.02,-,88%,62%,0.85,0.23,4.69,0.16,2.79,0.78,1.12,1.36,3.84,13,177.0mi,- - -,"$100,000 p/w",6/30/25,$50K - $500K
Wesley Fofana,Chelsea,Premier League,FRA,D (C),Trained in nation (15-21),Right,Set,,23,"3,127",70.23,5.04,90%,0.03,0.04,0.14,76%,85%,0.89,0.23,8.61,1.06,3.43,1.3,1.53,1.99,4.35,11,238.0mi,- - -,"$275,000 p/w",6/30/28,$165M - $222M
Luan Peres,Palmeiras,Brasileirão Assaí Série A,BRA,D (C),-,Left,,,29,"1,713",56.95,3.63,91%,0.04,0.03,0.11,81%,79%,1.37,0.37,5.83,0.47,2.78,0.84,1.79,2.42,5.25,10,128.4mi,- - -,"$25,500 p/w",12/31/26,$22M - $35M
Lisandro Martínez,Man Utd,Premier League,ARG,"D (LC), DM",-,Left,,,26,"3,722",63.79,5.61,92%,0.05,0.07,0.46,68%,63%,1.21,0.29,4.28,0.41,2.39,0.65,0.89,2.47,7.11,54,299.6mi,- - -,"$200,000 p/w",6/30/28,$140M - $172M
Éric Bailly,Marseille,Ligue 1 Uber Eats,CIV,D (C),-,Right,Inj,,30,"3,611",75.15,4.76,92%,0.01,0.01,0.2,80%,74%,1.17,0.3,7.03,0.55,3.51,0.72,1.32,1.57,3.71,42,285.2mi,- - -,"$115,000 p/w",6/30/23,$7.6M - $12M
Roger Ibañez,Roma,Serie A TIM,BRA,D (C),-,Right,,,25,"4,392",68.89,5.37,92%,0.05,0.01,0.2,82%,76%,1.33,0.31,5.86,0.55,3.61,0.61,0.98,1.52,4.04,47,345.1mi,- - -,"$100,000 p/w",6/30/27,$116M - $142M
Joe Gomez,Liverpool,Premier League,ENG,"D (RLC), DM",-,Right,,,27,"2,068",62.76,6.96,92%,0.05,0.06,1.57,84%,77%,1.83,0.39,6.14,0.52,3.53,0.78,1.31,3.79,8.88,17,185.2mi,- - -,"$110,000 p/w",6/30/26,$25M - $39M
